"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","","","scenario_runner_mock.copyright","","scenario_runner_mock.copyright","","src/scenario_runner_mock.cpp",""
"passed","","","","","scenario_runner_mock.clang_format","","scenario_runner_mock.clang_format","","src/scenario_runner_mock.cpp",""
"passed","","","","","scenario_runner_mock.xmllint","","scenario_runner_mock.xmllint","","package.xml",""
"passed","","","","","scenario_runner_mock.lint_cmake","","scenario_runner_mock.lint_cmake","","CMakeLists.txt",""
